call_id,primary_call_reason
7732610078,IRROPS
2400299738,IRROPS
6533095063,Voluntary Change
7774450920,IRROPS
9214147168,IRROPS
2931134074,Mileage Plus
2010588624,IRROPS
6611494442,Voluntary Change
8655666048,IRROPS
3564872843,IRROPS
6581088938,IRROPS
2890018342,IRROPS
7765452553,IRROPS
7769577839,IRROPS
767542571,IRROPS
2321172423,IRROPS
7062397166,IRROPS
3324493822,IRROPS
571689194,IRROPS
7464282955,IRROPS
173862056,IRROPS
1436604074,IRROPS
8089599224,IRROPS
4411281498,Voluntary Change
9184612791,IRROPS
7372830762,Voluntary Change
7105822425,Voluntary Change
6810211136,IRROPS
4188769806,Voluntary Change
2394268643,IRROPS
6984753592,Seating
8388730936,Voluntary Change
146835369,Mileage Plus
3993821881,Voluntary Change
9346438155,IRROPS
5590783122,IRROPS
1662111148,IRROPS
6800684041,Voluntary Change
4574787592,Seating
3672852372,IRROPS
5712598062,Seating
282876475,Mileage Plus
9375481611,Voluntary Change
1877881013,IRROPS
7073387644,IRROPS
2821741734,Voluntary Change
2823199606,IRROPS
5147770339,IRROPS
8318901171,IRROPS
1706558022,Voluntary Change
3816825928,IRROPS
6888836358,IRROPS
1909315123,IRROPS
9916440891,IRROPS
3144085521,IRROPS
6406806754,Voluntary Change
8897162588,IRROPS
6030722493,Voluntary Change
2661075187,IRROPS
2379448776,Voluntary Change
4736840022,IRROPS
5197231079,IRROPS
6356003443,IRROPS
7187467745,IRROPS
7442112695,IRROPS
9927545546,IRROPS
8777678803,IRROPS
7293354812,IRROPS
1560731801,IRROPS
8980452691,IRROPS
2139724314,IRROPS
7832749701,IRROPS
8862663911,IRROPS
1071237526,IRROPS
4844571576,IRROPS
8438919405,IRROPS
1846165236,IRROPS
4276522005,IRROPS
924505276,IRROPS
8861707995,Voluntary Change
3557693191,IRROPS
2366421153,IRROPS
263235043,IRROPS
3984448663,Mileage Plus
61859466,IRROPS
2225549905,IRROPS
2613510136,Voluntary Change
3972756490,Voluntary Change
2829790136,IRROPS
1359127003,Voluntary Change
6592992464,Voluntary Change
7063633331,IRROPS
8444721702,IRROPS
3315023080,IRROPS
236838033,IRROPS
1537394318,IRROPS
4783690799,Voluntary Change
2629438299,IRROPS
1900586967,IRROPS
6568728049,Mileage Plus
4130292567,Voluntary Change
2372051735,Voluntary Change
3594953507,Voluntary Change
5948044578,IRROPS
1399182145,IRROPS
7228687053,Mileage Plus
3897953100,Voluntary Change
8521514525,Voluntary Change
3383032768,IRROPS
5755317187,Voluntary Change
484295466,IRROPS
6975199428,Voluntary Change
5072785676,IRROPS
1298796618,IRROPS
2442164859,Booking
2322537565,Seating
1274668098,IRROPS
1505009107,Voluntary Change
2712578144,IRROPS
5639793995,IRROPS
9918603858,IRROPS
9981201756,IRROPS
7584753926,Seating
4038719698,IRROPS
199655996,Mileage Plus
4244297333,Voluntary Change
1362913899,IRROPS
6678426270,IRROPS
2179620625,IRROPS
2722679924,Booking
3144324854,Mileage Plus
2284080841,Voluntary Change
8915741448,IRROPS
1633903615,IRROPS
9770888779,IRROPS
8607422754,Booking
2890843819,IRROPS
6463758743,IRROPS
4919754489,Voluntary Change
8552437438,IRROPS
4842423552,IRROPS
4325016928,IRROPS
7394096113,Booking
2765968704,IRROPS
6048106750,IRROPS
1263655893,IRROPS
7058379255,IRROPS
8160707051,Seating
8637594874,Mileage Plus
3687835711,IRROPS
8046964389,IRROPS
2997264661,Seating
2740487271,IRROPS
187986448,Voluntary Change
3403858582,IRROPS
9760370010,Seating
5259058766,Mileage Plus
5248420695,Voluntary Change
7272674422,IRROPS
4325799458,IRROPS
5808302787,IRROPS
1325861367,Voluntary Change
674368296,Voluntary Change
188300030,IRROPS
2408207236,Voluntary Change
4403892372,IRROPS
7188474645,Voluntary Change
9875542395,Mileage Plus
8510933415,IRROPS
6477155233,IRROPS
8389733790,IRROPS
4241411884,Voluntary Change
1524992253,IRROPS
7588458203,Voluntary Change
4722755447,Voluntary Change
2884932404,IRROPS
7909079664,IRROPS
301621020,IRROPS
8353825384,IRROPS
9149402407,IRROPS
4595612614,IRROPS
3287367805,IRROPS
7824844907,IRROPS
903668659,IRROPS
8249365728,Mileage Plus
2311315000,IRROPS
8016848978,IRROPS
2956008338,IRROPS
9209491013,IRROPS
5383113868,Voluntary Change
749587516,IRROPS
2717419756,IRROPS
633633576,IRROPS
1350299118,Voluntary Change
2202744518,IRROPS
2193545000,Mileage Plus
2777071877,IRROPS
2174549851,IRROPS
917747669,IRROPS
580859366,Mileage Plus
5341257800,Mileage Plus
7924243911,Voluntary Change
5795093673,Voluntary Change
6846344518,IRROPS
6191546659,IRROPS
3954495153,IRROPS
9398324607,IRROPS
8166391866,IRROPS
6787282873,IRROPS
4870052576,Voluntary Change
1065053844,IRROPS
4649502777,IRROPS
1263382682,Voluntary Change
5154429528,IRROPS
7767884381,Voluntary Change
1254025050,IRROPS
7419067920,Voluntary Change
3468465406,IRROPS
7338954023,IRROPS
9490191149,Voluntary Change
2609079734,IRROPS
1212764051,IRROPS
3692391242,IRROPS
9967906867,IRROPS
21718321,IRROPS
4874269380,IRROPS
8902115465,Voluntary Change
3382561828,IRROPS
9976004286,Seating
6453549702,IRROPS
2452376550,Voluntary Change
1985133079,IRROPS
6026359128,IRROPS
3894515368,Seating
6865387985,IRROPS
9590128991,IRROPS
8158880894,Voluntary Change
5988585417,Seating
8326316460,Voluntary Change
6450953050,IRROPS
645789823,IRROPS
7429287647,Voluntary Change
7573540205,IRROPS
1751442327,IRROPS
5787135283,IRROPS
5014647666,IRROPS
9846722370,IRROPS
6067933090,Booking
5145900708,IRROPS
1942559671,IRROPS
3084579044,Voluntary Change
4810937305,IRROPS
4164811871,Voluntary Change
8035579545,Mileage Plus
9365823836,IRROPS
9775247015,Seating
3971649759,Mileage Plus
4802158977,IRROPS
8369201091,IRROPS
4191680035,Booking
2451350628,IRROPS
8842573501,Seating
2195725850,IRROPS
673120218,IRROPS
6998342679,IRROPS
3180990503,IRROPS
9656991392,IRROPS
1120290375,Mileage Plus
9670277775,IRROPS
2119428327,IRROPS
758330753,IRROPS
5515155820,IRROPS
2474264730,IRROPS
7291627864,IRROPS
4318435639,IRROPS
4400887690,Voluntary Change
7556935392,Mileage Plus
1035701808,Voluntary Change
4501428542,Mileage Plus
8930175275,Voluntary Change
9726064304,Mileage Plus
6046704645,IRROPS
324793505,IRROPS
796164004,IRROPS
5081816858,IRROPS
1758887222,Seating
3676453732,IRROPS
3543029575,IRROPS
9480548962,Mileage Plus
5640727515,IRROPS
5322645126,IRROPS
5990425594,Seating
9059890525,IRROPS
8901416008,IRROPS
3796650162,IRROPS
341480336,Voluntary Change
9398766705,IRROPS
8342850810,IRROPS
6243061484,IRROPS
3066169732,IRROPS
3034338834,IRROPS
2718357646,IRROPS
7990797482,IRROPS
714223004,IRROPS
4901915471,IRROPS
836793489,Voluntary Change
1200990400,Seating
9273040618,Mileage Plus
7171910768,IRROPS
1232559008,Voluntary Change
5652548051,Booking
9608432082,Mileage Plus
1048420941,Mileage Plus
5672052931,Seating
6955050240,IRROPS
7472924075,IRROPS
